word                                                                            deg of importance
----------------------------------------------------------------------------  -------------------
hsbc                                                                                    9662.39
i                                                                                       8188.78
@hsbc_uk                                                                                6486.86
@bounce_backloan                                                                        6010.77
                                                                                        4620.11
back                                                                                    3892.22
account                                                                                 3850.39
@hsbcukbusiness                                                                         3445.54
get                                                                                     3386.82
thank                                                                                   3274.1
still                                                                                   3087.64
bank                                                                                    3002.79
applied                                                                                 2892.62
please                                                                                  2891.41
us                                                                                      2839.96
@hsbc                                                                                   2818.25
call                                                                                    2551.55
business                                                                                2498.5
thanks                                                                                  2441.31
hi                                                                                      2393.61
-                                                                                       2367.84
bounce                                                                                  2353.11
would                                                                                   2248.6
got                                                                                     2248.39
waiting                                                                                 2127.14
we                                                                                      2105.37
email                                                                                   2075.65
feeder                                                                                  2030.86
help                                                                                    2022.21
one                                                                                     2001.51
&amp;                                                                                   1998.29
the                                                                                     1994.48
need                                                                                    1975.57
like                                                                                    1955.38
banking                                                                                 1932.25
loan                                                                                    1928.37
new                                                                                     1926.55
customer                                                                                1892.8
weeks                                                                                   1863.87
may                                                                                     1813.01
application                                                                             1806.83
i'm                                                                                     1788.39
know                                                                                    1781.98
team                                                                                    1734.33
time                                                                                    1731.61
days                                                                                    1721.71
2                                                                                       1720.48
phone                                                                                   1707.52
you                                                                                     1697.77
money                                                                                   1669.86
since                                                                                   1637.27
hello                                                                                   1612.67
even                                                                                    1540.76
good                                                                                    1505.42
people                                                                                  1501.68
getting                                                                                 1492.24
sorry                                                                                   1477.61
today                                                                                   1453.89
if                                                                                      1443.08
number                                                                                  1443.07
told                                                                                    1398.34
3                                                                                       1391.21
day                                                                                     1385.54
last                                                                                    1369.65
nothing                                                                                 1368.33
heard                                                                                   1326.07
bbl                                                                                     1324.99
received                                                                                1318.74
can                                                                                     1318.13
@rishisunak                                                                             1305.47
send                                                                                    1305.26
able                                                                                    1303.02
hear                                                                                    1300.89
going                                                                                   1285.75
working                                                                                 1281.27
you.                                                                                    1279.19
via                                                                                     1276.69
also                                                                                    1268.07
this                                                                                    1251.37
#hsbc                                                                                   1248.96
they                                                                                    1244.39
it                                                                                      1236.49
banks                                                                                   1218.91
take                                                                                    1215.64
iâ€™m                                                                                   1207.02
itâ€™s                                                                                  1206.77
iâ€™ve                                                                                  1198.02
customers                                                                               1196.96
i've                                                                                    1189.27
contact                                                                                 1184.66
trying                                                                                  1167.44
hsbc,                                                                                   1151.12
open                                                                                    1148.82
said                                                                                    1146.8
look                                                                                    1145.88
make                                                                                    1137.32
wait                                                                                    1135.47
really                                                                                  1129.56
give                                                                                    1128.17
credit                                                                                  1125.1
say                                                                                     1116.23
go                                                                                      1115.22
funds                                                                                   1105.3
signed                                                                                  1094.31
see                                                                                     1093.69
card                                                                                    1082.41
could                                                                                   1078.21
online                                                                                  1064.46
apply                                                                                   1041.63
first                                                                                   1040.94
my                                                                                      1035.15
link                                                                                    1023.29
us.                                                                                     1016.55
hold                                                                                    1014.19
hsbc.                                                                                   1013.55
no                                                                                      1011.76
so                                                                                      1006.46
@martinslewis                                                                           1002.93
much                                                                                    1001.31
happy                                                                                   1000.64
service                                                                                  997.998
hope                                                                                     993.442
details                                                                                  990.828
set                                                                                      981.113
@hsbc_in                                                                                 980.372
another                                                                                  971.564
called                                                                                   966.219
let                                                                                      962.187
week                                                                                     955.111
full                                                                                     952.755
due                                                                                      947.476
hours                                                                                    947.128
process                                                                                  946.634
just                                                                                     940.384
come                                                                                     938.379
put                                                                                      938.127
long                                                                                     935.185
many                                                                                     934.736
4th                                                                                      932.548
paid                                                                                     930.736
think                                                                                    925.51
within                                                                                   923.861
sent                                                                                     921.31
how                                                                                      918.114
canâ€™t                                                                                  907.73
not                                                                                      892.845
account.                                                                                 889.267
request                                                                                  887.535
post                                                                                     882.477
personal                                                                                 880.199
there,                                                                                   868.752
donâ€™t                                                                                  865.215
anyone                                                                                   861.353
check                                                                                    861.303
have                                                                                     860.604
@starlingbank                                                                            859.753
information                                                                              844.92
yet                                                                                      830.385
want                                                                                     826.626
anything                                                                                 821.703
years                                                                                    821.532
name                                                                                     820.727
can't                                                                                    815.758
complaint                                                                                814.989
morning                                                                                  814.388
saying                                                                                   809.027
done                                                                                     804.457
made                                                                                     803.394
never                                                                                    800.225
assist                                                                                   796.242
tell                                                                                     789.476
dm                                                                                       786.808
.                                                                                        786.775
what                                                                                     778.627
update                                                                                   778.315
two                                                                                      774.834
sign                                                                                     771.701
is                                                                                       770.339
app                                                                                      768.817
and                                                                                      768.016
keep                                                                                     765.831
times                                                                                    764.547
1                                                                                        762.02
as                                                                                       751.59
,                                                                                        750.321
worst                                                                                    746.305
next                                                                                     744.543
way                                                                                      743.946
kindly                                                                                   743.531
but                                                                                      737.022
access                                                                                   736.879
find                                                                                     734.487
response                                                                                 734.427
ago                                                                                      731.445
issue                                                                                    730.245
4                                                                                        725.5
current                                                                                  725.469
in                                                                                       722.557
every                                                                                    721.125
well                                                                                     717.231
starling                                                                                 716.365
someone                                                                                  714.78
use                                                                                      709.4
support                                                                                  708.684
experience                                                                               708.482
writing                                                                                  704.477
already                                                                                  703.654
code                                                                                     699.752
hello,                                                                                   693.867
using                                                                                    692.909
receive                                                                                  692.524
case                                                                                     689.473
loans                                                                                    686.774
mobile                                                                                   680.71
thanks.                                                                                  678.303
great                                                                                    676.659
https://t.co/ocvb5tjrbz                                                                  660.442
accounts                                                                                 652.307
pay                                                                                      649.992
try                                                                                      649.014
sure                                                                                     643.923
payment                                                                                  641.024
taking                                                                                   639.484
hi,                                                                                      638.23
ceo                                                                                      637.753
uk                                                                                       637.098
a                                                                                        631.696
share                                                                                    630.286
best                                                                                     629.03
sort                                                                                     626.705
looking                                                                                  621.89
ask                                                                                      618.993
care                                                                                     618.496
now.                                                                                     614.081
without                                                                                  608.969
direct                                                                                   606.975
applications                                                                             603.779
application.                                                                             600.63
security                                                                                 600.295
understand                                                                               597.455
appreciate                                                                               596.69
monday                                                                                   593.542
yesterday                                                                                590.023
help.                                                                                    582.182
nothing.                                                                                 581.949
order                                                                                    581.121
available                                                                                580.307
#bouncebackloans                                                                         579.789
live                                                                                     579.299
?                                                                                        578.402
#bouncebackloan                                                                          578.187
touch                                                                                    578.082
small                                                                                    576.725
it.                                                                                      576.117
tried                                                                                    575.621
to                                                                                       574.69
your                                                                                     573.278
staff                                                                                    571.268
asked                                                                                    566.088
you,                                                                                     564.929
reply                                                                                    562.101
...                                                                                      561.572
message                                                                                  558.471
this.                                                                                    556.251
branch                                                                                   554.621
speak                                                                                    552.223
thing                                                                                    551.438
right                                                                                    547.208
work                                                                                     544.364
i'll                                                                                     543.765
existing                                                                                 541.863
10                                                                                       539.954
feel                                                                                     539.485
provide                                                                                  538.772
havenâ€™t                                                                                538.718
forward                                                                                  537.541
asking                                                                                   537.037
emailed                                                                                  533.534
thanks!                                                                                  533.248
them.                                                                                    531.798
for                                                                                      531.373
transfer                                                                                 530.454
seen                                                                                     527.341
documents                                                                                524.557
spoke                                                                                    524.073
bbls                                                                                     522.075
loan.                                                                                    516.42
that's                                                                                   513.316
lot                                                                                      512.335
line                                                                                     509.935
days.                                                                                    509.32
bit                                                                                      509.304
you!                                                                                     508.66
better                                                                                   508.491
today.                                                                                   508.039
chat                                                                                     507.267
it's                                                                                     504.919
approved                                                                                 503.481
businesses                                                                               502.534
why                                                                                      501.699
back.                                                                                    501.593
text                                                                                     500.383
month                                                                                    499.585
me.                                                                                      499.374
something                                                                                499.282
government                                                                               495.483
might                                                                                    494.495
cannot                                                                                   494.12
calling                                                                                  493.521
now                                                                                      492.268
news                                                                                     492.156
start                                                                                    491.275
regarding                                                                                488.931
reach                                                                                    488.159
second                                                                                   487.166
tide                                                                                     486.117
says                                                                                     485.376
docs                                                                                     483.963
hour                                                                                     481.177
all                                                                                      476.568
click                                                                                    472.534
hey                                                                                      472.529
info                                                                                     469.483
financial                                                                                468.133
around                                                                                   467.155
answer                                                                                   466.879
seems                                                                                    465.937
id                                                                                       465.032
join                                                                                     464.878
48                                                                                       458.637
do                                                                                       458.349
@britishbbank                                                                            457.793
wrong                                                                                    456.748
given                                                                                    451.62
cash                                                                                     450.576
up.                                                                                      450.497
please?                                                                                  450.495
emails                                                                                   448.966
telephone                                                                                448.616
are                                                                                      447.495
different                                                                                445.052
used                                                                                     444.174
despite                                                                                  444.138
non                                                                                      443.296
complete                                                                                 442.154
longer                                                                                   441.986
yes                                                                                      438.884
offer                                                                                    438.33
though                                                                                   438.189
opened                                                                                   437.638
delay                                                                                    436.149
@tidebusiness                                                                            435.033
stay                                                                                     434.804
