,tweet
0,"@Vishen , a CEO that I would REALLY love to hear on your podcast and possibly even have a course on @mindvalley is @DanPriceSeattle . His philosophy is better aligned to the empathy that Mindvalley inspires. Thank you for considering this request. https://t.co/T7uMGKuv7K"
1,"The latest episode of the @mindvalley podcast is trending high on the Indian https://t.co/p0GFOdZ6FG charts today

@Vishen sits down with the incredible @priyankachopra as they discuss how to rise above failure &amp; attain success. 

Great chat,remarkable woman,must listen

#podicon https://t.co/PjdcrYsGkr"
2,@ImPaulMcKenna @mindvalley A new way of learning. Better and better every day.
3,@moneyman11_c @Vishen @mindvalley What is reality transurfing exactly?
4,@manojaryan @Vishen @mindvalley It messed with my mind...I had to stop.
5,@mindvalley It really messed me up. I mean this guy was just a thought in my head! I think. I can’t prove he’s really out here in another dimension or nobody out there can really prove they are a mind outside of my mind. But hey Mindvalley...are you an entity too beyond my consciousness?
6,"Who knew, you can change your life complete by sleeping 
@mindvalley #dreams #luciddreaming"
7,"@Vishen, I subscribed to YouTube because your ads were sucking the life out of me. @mindvalley"
8,Just finished filming another Quest with Mindvalley. It will be available later in the year. @mindvalley https://t.co/5unZhN25Xv
9,@mindvalley you need work on your #customersupport really unhappy with it and another friend of mine also. Clearly you have a problem there.
10,"Guess if i finish my goals,i should thanks to @elonmusk @bobproctorLIVE @OfficialJimRohn @TonyRobbins @MillionaireWV @BrianTracy @mrfire @mindvalley @Vishen @jimkwik @MarisaPeer for their wisdom and share of knowledge for success https://t.co/SaIxoaoqly"
11,@PhilStuPF @clickfunnels @russellbrunson @DanLokofficial @realjimedwards @Vishen @mindvalley Thanks for the comment 😃
12,@PhilStuPF @clickfunnels @russellbrunson @DanLokofficial @realjimedwards @Vishen @mindvalley Me too you can only cut down so much
13,@adventago @clickfunnels @russellbrunson @DanLokofficial @realjimedwards @Vishen @mindvalley The real goal is both... BUT if only one i think most would increase their income?
14,"WHAT WOULD YOU DO? 🤔

1. Increase your income

OR

2. Reduce your expenses 

💸

Click HERE to avoid financial killers, keep your wealth, and skyrocket your income

 👇

https://t.co/62eBS1HNmw

@clickfunnels @russellbrunson @DanLokofficial @realjimedwards @Vishen @mindvalley https://t.co/JYFeo6Qe8R"
15,@Vishen @mindvalley That’d make a cool video.
16,"@mindvalley I suddenly realize that I’m lucid.  A guy (who looks like billy from the power rangers walks by.) I grab him and shake him.
“Are you a conscious entity? Do you exist beyond my dreaming mind?” I ask him.
  In a matter of fact way he shrugs and says, “yeah, of course.” https://t.co/fvnxdMDhjp"
17,@AdrienneNakohl @rosiesherry Hey Adrienne do you still need help - I know some of the folk from the ads team behind @mindvalley
18,@mindvalley @ronak_vishnoi Absolutely correct!
19,Has @mindvalley bought every possible @YouTube ad space? I can’t escape them! Please make them stop.
20,@AMSCapitalHouse @Startup_Adam @MobilityLabNL @WintertalingAdv @ImpactHubAMS @thenextwomen @u_globally @Techleapnl @CodamCollege @dealroomco @mindvalley @joshsilb up your alley...
21,@justinnfurtadoo @Vishen @mindvalley Same - always :)
22,@anthonydapiii @Vishen @mindvalley Love it. I’m glad we crossed paths with each other 🥂
23,"What's your favorite Podcast right now? @disgracelandpod(69), @leathau Strangers(67), @stownpodcast(66), @SpookedPod(64), @mindvalley(63), @snapjudgment(61) all received enough votes to help propel them onto February's definitive top-100 Pods at https://t.co/Yfr5z2h3ib #PodBallot"
24,@justinnfurtadoo @Vishen @mindvalley Me as well 🙌🏻
25,@anthonydapiii @Vishen @mindvalley This is so well done. Where do you think you’re at right now? I think I’m leaping from 3 ➡️ 4
26,"Sobering thought 4 us alcoholics. Wouldn't you 'live inside the bottle' if you were @elonmusk? Pushing a hit of $1.8 billion. @KimDotcom Money is 'fluid' not 'constricted'. Crypto, so laughable, will eventually, choke it's self to death. @mindvalley on 'Quicksands' 2. https://t.co/bcGIvO7VI3"
27,@Vishen @mindvalley Have you read reality transurfing?
28,"@Vishen @mindvalley Yes, I have tried and tested it personally.
.
It really works.💍🙂"
29,"Lucid Dreaming is the topic of this week's @mindvalley  masterclass. If you're not aware, Lucid Dreaming can actually be used for real-world benefits. It's fascinating.

check out this article: https://t.co/CDq6q1ENqO

If you want to know more, try the masterclass."
30,@mindvalley I had one recently involving a 'parkour commute' to work...you can hear the story on my Instagram https://t.co/HTgGk0FQLe
31,"🤬 Unbelievable is a stupid and disrespectful word.

Here's why you need to STOP using it in your life 👏🏿

CLICK THE SECOND IMAGE TO SEE MORE! 📷

⬇ Then Click Here ⬇

https://t.co/9eN0XK8ipq

@DanLokofficial @clickfunnels @Vishen @mindvalley @realjimedwards @McConaughey https://t.co/vic1SVJTH4"
32,"@nathantherm @mindvalley Why don't you just get off Twitter and call it a day? I guess you're not as ""passionate"" as you pretend to be. 🙄"
33,"Another great gem from The Buddha and The Badass: “Every person you lead is as brilliant as you, as talented as you, and has the same capacity for growth and accomplishment. They simply need to be reminded of this fact” - @Vishen @mindvalley #Sportsbiz"
34,I love this graphic by @Vishen of @mindvalley https://t.co/DR0RDR8vhf
35,"@mindvalley hello, nobody replies to my inquiries, I have bought the full access but it doesn't let me access spanish courses!"
36,"@mindvalley Yes, as spooky as it may sound, but I often get Lucid dreams along with sleep paralysis; 
and it's super scary, no one should ever experience that combo."
37,"@Vishen(Writer of the book ""The code of the extraordinary mind"" and the founder of the @mindvalley)'s wife : How is it possible to be happy when seeing so much misery and tragedy everyday?

@DalaiLama : But who can you help if you are unhappy?

#Wisdom #conversation"
38,@mindvalley What is a lucid dream??
39,"In this episode, Kshitij Minglani, the Co-Founder of @mindvalley talks about hiring strategies that attract talents who crave growth, doing away with emails, and making non-delusional decisions https://t.co/fxpDXZXO3c #podcast #listennow"
40,"❤️❤️❤️ [ unconditional love]  ❤️❤️❤️

If you see happiness ""in"" other people, 
why don't you look for it ""in"" you too?

True or False? 👉 
@mindvalley 
#minddevelopmentacademy #believeinyourself #lifecoachperth #perth #mindcoach #loveyourself https://t.co/fedW9njXK4"
41,"@DarrenHardy_Fan @JV2210 @DanLokofficial @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler Thank you 😁

@DarrenHardy_Fan"
42,"(LOOK AT THE 2ND IMAGE👀)

What if I told you that all the AMAZING inventions were made by people...🌍

NO SMARTER than YOU❗😲

 👇🏿 

https://t.co/9eN0XK8ipq

@DanLokofficial @clickfunnels 
@russellbrunson @realjimedwards @jimkwik @steven_kotler  @EricEdmeades @mindvalley https://t.co/x6UzfTOjqI"
43,"@adventago @JV2210 @DanLokofficial @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler The quote by Darren is in his Darren Daily Journal, might be where @DanLokoffial got it from 365 quotes by Darren Hardy.   Wish they were all out here public. More on the real @DARRENHARDY Twitter, this is a Fan page. Not affiliated with Darren. #DarrenHardy_Fan 🌻❤"
44,@mindvalley Believe in yourself and take positive steps. Failure will turn into opportunity to try again till you achieve😊
45,"@mindvalley Life is relative and subjective. 

Use this to your advantage. 

Find the best perspective.

Seek the hidden lessons. https://t.co/11v0RQMkVL"
46,@mindvalley Awesome! So true!
47,"@mindvalley @Vishen Yes. I have found the more lucid they are, the more likely the dreams may be to be something to be to come to fruition."
48,"@mindvalley Omg, yesss, that too when annular solar eclipse occurred (IST)..!!! I'm not really sure about its correlation/significance, but that experience has forged me a bit... And it's very sacred to me..I still keep analyzing that to understand/absorb it a lil more.. It was intense..😯💫"
49,@EstherAAyorinde @RobinSharma @mindvalley Love this.
50,@EstherAAyorinde @RobinSharma @mindvalley I needed this today :) - thanks for the gift!
51,"@EstherAAyorinde @RobinSharma @mindvalley #LightbulbMoment 💡and very timely for my today 😬 , thank you for sharing! #MondayMotivation #Word of the week 🙌🏽"
52,"“Chaos is nothing more than your next level of #worldclass coming to get you. Embrace the messy-ness, for there your expansion lives - @RobinSharma @mindvalley #chills"
53,"Hire for mindset 
Train for skill

@Vishen 
@mindvalley"
54,"I discovered  #PaulMcKenna while shopping in a book store in Covent Garden yrs ago. There were cds within the book I listened to so much (which defies my age) I was pleasantly surprised to find him again on one of my fav podcasts @mindvalley
Thank you! ❤️ https://t.co/Z98Wb7Ixq8"
55,@the_wildwoman If this helps...while listening to a @mindvalley lesson on energy work. The teacher mentioned sometimes we attract the wrong partner bc they needed healing from us. Assess before getting involved or maybe consider taking up healing work too ;)
56,@mindvalley @Gelong_Thubten Very True Quote. But The Question Is Who Will Take Initiative To Teach Right Way Towards Consciousness?
57,@mindvalley @MarisaPeer The quote is amazing ❤️
58,Great masterclass with @Vishen and Kristina @mindvalley
59,@mindvalley Classes are only for people who have full use of upper &amp; lower body? No modifications for physically challenged individuals?
60,"I'll join @mindvalley University. This is my intuitive feeling that @Vishen is the cog in the system to disrupt the education system. Therefore, I shall engage with him and his vision of a futuristic university."
61,"I have completed Rest Day on Quests by Mindvalley.
https://t.co/Orv0jk24o0 
Just #awesome ⁦@mindvalley⁩ https://t.co/6u6uLROxmJ"
62,"@mindvalley get a grip. You sell 'snake oil'. Fact, rule of thumb, never misguide the meek. Watch your Karma, car crash waiting to happen. Stop now, consider your future."
63,"@mindvalley NEED TO ""DRINK"" Your REVELATION TO ""RAISE MY CONSCIOUSNESS"" And ""ENHANCE The CLARITY OF MY SUBJECTIVE PERCEPTION"" ......."
64,"@KruppKomm @DailyMailUK @Vishen @priyankachopra @mindvalley Bless her heart, what a challenge to lose her father at such a young age. I can’t wait to hear the entire podcast. Not only is she gorgeous but she’s so poised and articulate. ❤️"
65,".@DailyMailUK recaps @Vishen's amazing interview with 
@priyankachopra on the loss of her father, achieving a work-life balance, and more on his @mindvalley podcast.  

https://t.co/XiMrmvgtIk

#mindvalley #client #podcast"
66,@jarvischris @mindvalley Very well said!
67,"If you listen to one podcast episode today, it should be @mindvalley's podcast with @McConaughey"
68,"@thetonyverdi @mindvalley Continue to follow your passion. Positivity will stay close to you. If you do what you enjoy, you will find happiness even when times get tough."
69,"The latest episode of @mindvalley podcast is trending on  India's https://t.co/p0GFOdZ6FG charts today
@Vishen is joined by the English hypnotist+mindfulness expert @ImPaulMcKenna as they discuss how to increase your confidence+inner joy
Great listen you won't want 2 miss this 1 https://t.co/dNCVuxjsuV"
70,@DishkittyStudio @LoserMLW I use #lumositymind and I have heard a few others from @KwikLearning and @mindvalley. The last two have been the fuel to my rocketing interest in self-improvement!
71,"@mindvalley  Please improve your Youtube ads. They are shit boring and irritating. I have seen @Vishen blabbering on and on. They sound ""Bla bla bla, bla bla bla, bla bla bla"" without making any sense. Why can't you create a 30 seconder?? Are these ads working ???"
72,@jarvischris @mindvalley This is the real truth!
73,@mindvalley “Value corporate production over your life slaves”
74,"@jarvischris @mindvalley Well said Chris!

It’s a long lonely road but so worth it. 

How have you managed to keep positive during the long days?"
75,"The entrepreneurial journey is the farthest plan from a quick process. Unfortunately, most think this is what it is.

It’ll take you 2 or 3 times longer than you think and will cost you 2 or 3 times more.

Listen to my @mindvalley podcast episode 👉 https://t.co/zQeeFjcMrn https://t.co/ywt1pPup9U"
76,"@Latifa_Mak @the_stemcast @mindvalley Sure @Latifa_Mak, will be happy to discuss it with you 👍🏻"
77,"@selsaber Hi Sulaiman! I launched @the_stemcast podcast last year with the goal of highlighting individuals in #STEM! To date, I’ve spoken to 20+ individuals from around the world. I’d love to have you on to share your STEM story with our listeners as a Data Engineer @mindvalley!"
78,Platforms such as @mindvalley allows us to expand our consciousness and become self-aware.
79,"Binge on content that matters✌

Tap into amazing content on marketing, sales, sleep😀, intuition, leadership and more✌

@HubSpotAcademy @neilpatel
@mindvalley

#youtubechannel #learning #contentmarketing #growth #instinctandanalysis #entrepreneur #LeadershipMatters #watchlist https://t.co/SpiipJtkTa"
80,@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Gary v is a fav ❤️
81,@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Great buddy.. thanks for the tip🙌🙌
82,"If you are looking at ways to improve your focus you should check out the latest @mindvalley podcast which is trending on the Indian https://t.co/p0GFOdZ6FG charts today

@Vishen talks us through 15 secrets to improve your focus.

Go check it out

#podicon #podboard100 https://t.co/8P6YYrR8rN"
83,"@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Know most of them, just haven't ever watched their channels much"
