,tweet
0,"@octopus_energy I think your wheel is broken 🤣🤣🤣l! it hit £512 and rolled back. 🤦‍♀️🤣 I never knew doing my bills could be so fun 👍 if Anyone wants a £50 referral link, hola at me. Octopussy 🐙 is a massive improvement on the cowboys ive been dealing with! https://t.co/vuDKGXLmdf"
1,"Our 3 stories of the week...

No 3: Kind couple help delivery driver amid Texas storm by @cathyjfree https://t.co/uTG4SFfnlV
No 2: Liking this from @octopus_energy boss @g__j and by @dougalshawBBC  https://t.co/zIn45sEgns 
No 1: Roadmap out https://t.co/SjFxt5F2Jm"
2,@adamtranter Glad I jumped ship ages ago. Hopefully @octopus_energy wont do anything as dumb as this.
3,"@newelland @octopus_energy I get that HRM is used to exert control over employees, making them adopt a corporate mould, over thriving as themselves. But that tends to reflect the paternalistic view of the company's leaders."
4,"@newelland @octopus_energy I've also wondered this. I understand their workforce is based on IT skills, rather than big teams of  field /call centre agents. But as a sweeping generalisation, IT folk aren't always known for their people skills - So what happens when something goes wrong?"
5,@octopus_energy Love this
6,@RobACareerPsych @g__j @genius_learning @dougalshawBBC @octopus_energy Sorry to see you being misread. I'm proud to represent @octopus_energy. Love that energy CEOS are trying to build businesses that will change the world WHILST thinking about how to bring customers and colleagues with them. Not an easy time: needs imagination &amp; humanity in SPADES.
7,"Wondering if anyone is actually still working at @octopus_energy... 8 days waiting for a response on one query... Tried phoning, sat on hold for 20 minutes of ""Andrew"" repeatedly banging on about how they reply to emails nearly immediately."
8,@octopus_energy can we have a timetable for smart meter roll out?
9,Almost 1 month in and very happy with @octopus_energy love the agile time of use pricing. Highly recommend if anyone wants a referal code to get £50 credit.
10,@Change2Thrive @octopus_energy Do you need a referral code to get £50 credit if so DM me.
11,@octopus_energy Can someone pick up my email I sent four days ago pretty please?
12,@octopus_energy Does anyone reply to DMs?
13,Octopus Energy helps NatWest Group's customers switch to an electric vehicle https://t.co/VKftL6rk2i #GoGreen #ElectricCar #EV #GoElectric @octopus_energy @NatWestGroup
14,"@SaundersGTTO @octopus_energy Yeah, I've heard 'mostly' good things about them."
15,"💻Webinar: Charging ahead to #NetZero
📅Tuesday 9 March, 1pm

ℹ️The government has brought forward the ban on petrol &amp; diesel vehicles to 2030, and we recognise the transition to #EVs may seem daunting.

Featuring speakers from NatWest's Future Mobility Group &amp; @Octopus_Energy 👇🏾"
16,@museumgirlldn @sallysculthorpe @octopus_energy Mine too. We moved from Bulb and even picked the green offset option. Distressing😟🐙
17,@HarlanPryce Switch your gas and electric before the price increase. Apparently @octopus_energy are very good.
18,"Have re-run data based on 100% renewable electric &amp; green gas both supplied by @octopus_energy (for ease, other suppliers might be available). Difference falls to £221.21 a year - £449.12 v £670.33. Overall costs higher but cost of carbon £13 a tonne. Great value. https://t.co/GqrNatizmW"
19,@octopus_energy really are the masters in both time wasting and sheer stupidity jeezo
20,Hi @OhmeEV just moved from Fixed tariff with @octopus_energy over to their tracker but can't find it in your app. Do you support the tracker tariff?
21,The nominations for Business of the Year are @octopus_energy @pplprs @coolasleicester @nextupcomedy &amp; The Rowleys Partnership https://t.co/h2d5HeRcCQ
22,@FuturaeVitae @LawrenceVisions @AukeHoekstra @octopus_energy plus a daily supply charge of $0.83/day
23,"@glynhudson @octopus_energy ""A bit of a smart energy expert"" - lol"
24,@2ontrack @LawrenceVisions @AukeHoekstra @octopus_energy Beats Texas at $9USD/kWh when the gas valves freeze
25,"@FuturaeVitae @LawrenceVisions @AukeHoekstra @octopus_energy That seem to be the average price in South Australia.
To our morning radio announcer, that is expensive."
26,"@2ontrack @LawrenceVisions @AukeHoekstra @octopus_energy 1/3 of a cent a kWh or 36c/kWh?

Is that due to cheap renewables? Solar, Wind, batteries (SWB)? Own solar? @2ontrack"
27,@_acm_69_ @octopus_energy Sorry I cannot read your reply the glare from the sun is hitting my eyes. 😂
28,@johntisbury I’m going to get one of those @octopus_energy BIG FANS and blow all the clouds over to your area. 🤣😉 https://t.co/f0BSEHgavo
29,Smart meter appointment booked for March via @octopus_energy .  Don’t think I have ever been this excited about a visit from a utilities company.  First task after it’s installed is updating my setup in @IFTTT and @home_assistant (via @markgdev )
30,@mikefosterEUA @octopus_energy We have some very interesting reports on our fuel comparison page that exactly exemplify this. Any system can be efficient but running costs will always be linked to heat loss and so we need to make buildings Heat Pump ready in order to take advantage of the COP's.
31,"@octopus_energy hi, I need to chase up getting an engineer to finish installing my smart meters. Was expecting contact but not heard anything yet. Thanks"
32,"@RaphaelLLevy @octopus_energy Hi, you save yourself £50 too if you use my link below when you switch

https://t.co/Syd7Y7PqP0"
33,"We got a little mention on @octopus_energy blog, happy to help spread the word about green energy and dynamic tariffs😊 https://t.co/blQEJiiM1v https://t.co/U0oxT4fEWo"
34,"Morning @octopus_energy 
New customer &amp; I’ve been asked to send meter readings after 1st month.
Couple of questions 
I’m on a smart meter - doesn’t that send you the numbers?
The smart meter I have doesn’t show R2 reading (economy 7) so how do I send that number🤷‍♂️
Thanks 😁"
35,@FuturaeVitae @LawrenceVisions @AukeHoekstra @octopus_energy My home rate in South Australia thru AGL is $0.3682c/kWh
36,@octopus_energy Thanks I have sent a message as they’ve been installed now so need to set up direct debit and get put on a tariff thanks
37,"Just signed up for my 3rd year with @octopus_energy, amazed how unbelievably quick the whole process is and how friendly their team always are, here's to many more years with them and their competive prices and green energy 👍❤️"
38,"@LawrenceVisions @2ontrack @AukeHoekstra Context @LawrenceVisions? For charging at home, on road or South Australia home rates? Quick google - Aus Tesla is 52c/kWh. @octopus_energy launching in Australia. UK prices Agile: minus 10p (you get paid to stabilise the grid) to plus 35p (cap?)

https://t.co/eRCIyjJrrj https://t.co/Q7YfrhzMRR"
39,"@skempleton @octopus_energy I accept the spreadsheet looks only at the heating (and some cooking) to get gas usage @ofgem figures. Including all other energy needs is valuable data, I agree, but not the purpose of this exercise."
40,@mikefosterEUA @octopus_energy There is a further saving not represented here if on a heat pump. You don't pay for standing charge on both gas and electric meters. Better to present whole house energy costs for comparison.
41,"@Ccashbacklover I went with @octopus_energy as cheapest for gas on dual fuel, as both services are needed. For electric, I went with electric only."
42,@DanielKorski @beisgovuk @PUBLIC_Team @Laura_Sandys @CHerweijer @EnergyInstitute @EnergySysCat @GregBarkerUK @haydenwd @octopus_energy @ofgem @FaradayInst @edfenergy @pol_economist for your energy policy lectures!
43,@robertjwhitney @octopus_energy Electric unit price is from @BulbUK which is the cheapest on @UswitchUK this morning.
44,@octopus_energy @CraigLiamJones How do I get a little octopus toy?
45,@mikefosterEUA @octopus_energy Electric unit price looks high!?
46,"@octopus_energy Thank you, that would be good... no response and no explanation of what’s happening for so many days is not good customer service! I can see my half hourly readings on line, and so keen that I start to be charged accordingly ASAP."
47,@octopus_energy Thank you. It’s extremely frustrating as this has been going on since December/January.
48,"Time for the monthly cost comparison. Gap widens by £12.60 a year due to lower gas tariff than previous month. Same supplier ⁦@octopus_energy⁩ who are offering lower rates this month. Implied cost per tonne of carbon saved, £170.54. https://t.co/pBtRC4aD5v"
49,@octopus_energy @Sazlberry78 @CraigLiamJones I’m still waiting for the arrival of my 🐙 been ages now!
50,@octopus_energy - have been waiting for more than a week to get a response to my emails about this web error I am getting during the Agile switching process. What is going on??? https://t.co/RQczNEDznE
51,@museumgirlldn @octopus_energy That is disappointing to hear as an @octopus_energy customer 😕🐙
52,"Woolly Hatmosphere

The pictures are coming in. If you want to show support for @OTFBrighton then take a picture of staff or favourite mascot/cuddly toy/pet/bicycle and post it to Off The Fence's social pages.

@octopus_energy #woollyhatday https://t.co/UaBfLfJGpp"
53,@octopus_energy Further to my last tweet I am still waiting for this to be resolved.  Despite a smart meter installation I have no idea how much gas is being used.  Also no sign of an Octopus being delivered.  Not impressed with the service so far.
54,"@sallysculthorpe @octopus_energy I know-us too! And I encouraged loads of other people to switch.

Would love if they replied to this and got it fixed"
55,@museumgirlldn @octopus_energy No way. This is disappointing. They are our supplier.
56,@andyroome @octopus_energy I’m sorry to hear you haven’t had a positive experience with us. Could you please drop us a DM confirming your account details so we can look into this for you?  https://t.co/7PNWNRIbLi https://t.co/xqTFXgLUTP 💡
57,@_Ema_W_ @octopus_energy It's adorable!
58,"Utterly devastated to discover that the investor who owns a fifth of @octopus_energy is heavily involved in the fossil fuel industry.

Guess I have to change suppliers again unless they change their ways https://t.co/MftYEVeKeb"
59,@octopus_energy Have done so. Thanks.
60,"Hey @octopus_energy . How long does it take a representative to reply to an email usually? Want to give you guys a final meter reading received after we moved house, and no option on the dashboard (because we've moved). No reply to my email, though."
61,"@g__j @ariadneassoc @octopus_energy No Greg, the Twitter Investigation of Truth Service (TITS) now knows more about your company than you do thanks to 5 mins on Google and LinkedIn and therefore will move to phase2 which is to call the CEO to terminate your services...oh wait...."
62,"@EVPuzzle @octopus_energy Still monitoring, but for me Go Faster wins with my lack of home battery and usage habits"
63,"@qcpeople @ariadneassoc @octopus_energy Just imagine the chaos, every uninformed team of accountants, customer services, even the cleaners, all procuring their own PCs (not to mention servers, networking), cybersecurity... lolz"
64,@octopus_energy our smart meters are due to be installed today and on the email it says I’ll get reminders running up to my install date but I haven’t heard anything. Please confirm they will be getting installed today?
65,@octopus_energy I’m spittle confused why my last bill only had two days of electricity use charged to the 4th feb but gas is until 24th -I had a smart meter installed on the 12th jan ? 🤷‍♀️
66,@octopus_energy my fixed gas tariff is coming to an end.  I have not been offered the option to fix my gas tariff while staying on the agile electricity tariff. Why is this?
67,"@betateach @ClemCowton @octopus_energy Hello Clem nice to meet you, if there’s ever any voluntary work I would love to help!"
68,@Robclements5 @MLiebreich @octopus_energy Thanks for sharing!
69,"Hi @ClemCowton hope you are well. Meet my god daughter Grace @GraceLuckhurst. She's 18, a feminist and very passionate about the environment. I'm obviously very, very proud of her. If @octopus_energy do internships she's your person. 😃  

Grace meet Clem"
70,"@EvWales @octopus_energy 

Electric meters instead of parking meters https://t.co/c2biYSi4Xb"
71,"@matthewnunn1986 @Change2Thrive @octopus_energy The main thing is having space for the smart meter box, the area where the meter is now is very compact and needs everything in there moving about to get the smart meter to fit but after that I will be swapping"
72,@octopus_energy @redtop63 Or a big one? 😂 https://t.co/SRPZ4mHV0L
73,@DJBurges According to @octopus_energy my SMETS1 is dumber than a @GOP supporter but slightly less racist. In any case I can't swap :(
74,When you're glad @octopus_energy do electronic bills... https://t.co/THyoe985aQ
