 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
2,"@LondOgrad Hello Eugene, we do apologise for the delay but due to the current situation, our lines have huge queues.
 Just checking did the customer managed to reach us? ^Dom",CUSTOMER_SERVICE_ISSUES,,bad customer service,Customer Service Response,,customer service reply,,,,customer_service issues,delay,Delay,delay in calls,Huge Queues,customer_service_issues,"London, UK",,{'category': 'Delay',subcategory': 'Delay in bounce back loan'
8,"@ncohen4 @CooperativeBank @HSBC @HSBCUKBusiness This whole situation is such a mess, they were happy enough to take the taxpayers money when they needed it, now when we need to borrow some &amp; pay interest on the loan it's harder than finding rocking horse poop!",BAD REPUTATION,,,General,,,,,,Bad_reputation,unhappy,{'category': 'Reputation',subcategory': 'Bad reputation',worst experience from customer – mess,BAD_REPUTATION,"Plymouth, England",,{'category': 'Reputation',subcategory': 'Good reputation'
9,"@sharaola Good morning, sorry for your experience, please send us your contact details along with your national ID number to hsbceg.help@hsbc.com, and we will assist you. Thanks. ^NA",CUSTOMER_SERVICE_ISSUES,,bad customer service,Customer Service Response,,customer service reply,,,,customer_service issues,customerservice,{'category': 'customer_service issues',subcategory': 'customerservice',General response from bank,General,"Cairo, Egypt",General message from hsbc,{'category': 'Reputation',subcategory': 'Good reputation'
11,@Bounce_BackLoan Still not a peep from HSBC,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Delay_Bounceback_Loan,"delay , no response",{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',No reply,DELAY_BOUNCEBACK_LOAN,"Enschede, Nederland",DELAY,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
15,"@djm2481 @mgcmitchell @HSBC_UK Thanks for the mention Paul ðŸ™‚ We'll be happy to have you Mark, let us know if you have any queries ðŸ‘",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,any queries,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,United Kingdom,,{'category': 'Reputation',subcategory': 'Good reputation'
26,@Bounce_BackLoan any evidence of anyone getting a HSBC payout? I don't think they've paid anyone. Maybe today they will...,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,not paid,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',No reply,DELAY_BOUNCEBACK_LOAN,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
28,"Good morning, I am Nanis and I'll be happy to answer any HSBC banking questions or queries you have. ^NA",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,customer_service issues,answer,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,General,"Cairo, Egypt",CUSTOMER AGENT_RESPONSE,{'category': 'Reputation',subcategory': 'Good reputation'
32,"@JSR_MZP Hello, Thank you for writing into us, we don't accept IMPS for credit card payment.(1/2)^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,payment,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,General,"Mumbai, India",CUSTOMER AGENT_RESPONSE,{'category': 'Reputation',subcategory': 'Good reputation'
39,"@iSrivats Hello, Thank you for writing into us, request you to kindly click on the link https://t.co/fQwsgBQmMJ , unsubscribe@hsbc.co.in. and unsubscribe to receive any communication from us.^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,customer_service issues,thank you,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
40,@miss_simmons1 @CooperativeBank @HSBC Donâ€™t bother with @HSBCUKBusiness as they are worse!,BAD REPUTATION,,,BAD REPUTATION,,,,,,Bad_reputation,worst,{'category': 'Reputation',subcategory': 'Bad reputation',worse,BAD_REPUTATION,,WORSE,{'category': 'Reputation',subcategory': 'Bad reputation'
43,@aparajitamukher What bank is this? Had to go to HSBC the other day and thankfully was pretty quick,GOOD REPUTATION,,,GOOD REPUTATION,,,,,,Good_reputation,happy,{'category': 'Good_reputation',subcategory': 'happy ',,,"Doha, Qatar",,{'category': 'General',subcategory': 'General'
44,So HSBC are focussing on their current customers and not allowing new people in which part of me is happy about because I know once I switch Iâ€™ll get looked after but that means I wonâ€™t have Spotify Premium or the Army membership until the coronavirus is over.,General,,,General,,,,,,Good_reputation,happy,{'category': 'Reputation',subcategory': 'Good reputation',worst experience from customer – mess,General,Up Yoongi's ass & to the left,,{'category': 'Reputation',subcategory': 'Good reputation'
58,"Some banks such as @LloydsBank and @santanderuk
 should be applauded for responding quickly to their customers' applications for Bounce Back Loans. Some of the other banks such as @Barclays and @HSBC_UK need to improve their performance urgently. https://t.co/p61iHgGhdB",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,improve,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,Shropshire,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
