,comment
0,"After this class you'll see why Silicon Valley companies are flocking to trainers like Charlie to be the first to start utilising this unexplored frontier of personal growth.
⠀
👆 Check out this link to get started: https://go.mindvalley.com/pfrc94E8

Sweet Dreams. 💤💤💤"
1,The shirt is almost identical to my moms fancy china plates
2,"When you buy a program,  can you stop, backup,  etc? I just did the Jim Kwik intro one and noticed there was no way to do this. Thank you."
3,Exactly what is lucid dreaming? Thank you for your reply
4,"I have lucid dreams all the time, also have over 10.000 hours of meditation 🥰❤"
5,i so can resonate to this
6,"Totally sign up, people!!"
7,The masterclass is dope! And it's free!🥳
8,Salil Arora
9,"After this class you'll see why Silicon Valley companies are flocking to trainers like Charlie to be the first to start utilising this unexplored frontier of personal growth.
⠀
👆 Check out this link to get started: https://go.mindvalley.com/3byzBPrf

Sweet Dreams. 💤💤💤"
10,"Join Charlie and Vishen Lakhiani in a brand new Masterclass and learn the 4 easy steps to experience Lucid Dreams, '10 magic words' to remember your dreams, and much more. 🔥
⠀
You're only a dream away from overcoming trauma, improving your physical strength, and effortlessly healing your body and mind. 🌄
⠀
So start today: https://go.mindvalley.com/pfrc94E8"
11,I would really appreciate a reply to my query from 3 days ago. I used the message box on the website but still no reply.
12,I have sleep paralysis...sucks 
13,"Join Charlie and Vishen Lakhiani in a brand new Masterclass and learn the 4 easy steps to experience Lucid Dreams, '10 magic words' to remember your dreams, and much more. 🔥
⠀
You're only a dream away from overcoming trauma, improving your physical strength, and effortlessly healing your body and mind. 🌄
⠀
So start today: https://go.mindvalley.com/3byzBPrf"
14,Bou Vongthear yo I want to take this but don't know if it really works
15,Thanks guys.  Never hurts to be reminded that I am worthy and more than enough!
16,Thank you I trust God and the universe. I am trustworthy and I am enough 😇
17,❤❤❤
18,🌸❤💫
19,Cool....👍
20,Holly Cooke ❤️
21," You'll also learn the '10 magic words' to remember your dreams, the four easy steps to experience Lucid Dreams that transform your life from inside out, and a lot more...
⠀
Join Vishen Lakhiani and Charlie Morley and take the first step to access your inner intelligence. ✨
⠀
Ready to sleep? See this link: https://go.mindvalley.com/pfrc94E8"
22,More Gratitude and More Power to You ... You are amazing .... Vishen ..❤️ Keep Inspiring ... Keep Rising ⭐
23,How does one get customer support for a product purchased?
24,Mona Saad الرؤيا 
25,Carly Crouch
26,"You'll also learn the '10 magic words' to remember your dreams, the four easy steps to experience Lucid Dreams that transform your life from inside out, and a lot more...
⠀
Join Vishen Lakhiani and Charlie Morley and take the first step to access your inner intelligence. ✨
⠀
Ready to sleep? See this link here: https://go.mindvalley.com/3byzBPrf
"
27,"Sounds Fantastic, I will watch it as soon as I return home. Cheers."
28,😍😍👍
29,"In English it is difficult to understand for some Indians,Can it transformed to hindi"
30,"Join Vishen Lakhiani & Charlie Morley on a deep dive into the science of Lucid Dreaming: and how you can use this phenomenon to heal pain & trauma, gain clarity & answers, supercharge your performance, and even call on profound synchronicities that change the course of your life: https://go.mindvalley.com/3byzBPrf"
31,Thanks for the love Mindvalley 💙💜
32,Charlie Morley is a great inspiration for Lucid Dreaming.
33,Jan Hartman
